CONTRATO GENERAL;CONTRATO ABONADO;ZONA ;Dir. Suministro;EMPLAZAMIENTO;INSPECCION
10624;10624;Zona 02;CJ/ MARINA, DE LA, Nº 33;INDIV exterior SIN GRAL;3203
7948;7948;Zona 02;CJ/ MARINA, DE LA, Nº 33;INDIV exterior SIN GRAL;3222
22098;22098;Zona 02;CJ/ MARINA, DE LA, Nº 33;INDIV exterior SIN GRAL;3223
3164;3164;Zona 02;CM/ HUERTA DE PIMENTEL, DE LA, Nº 5;INDIV exterior SIN GRAL;3205
24620;24620;Zona 02;CM/ HUERTA DE PIMENTEL, DE LA, Nº 3;INDIV exterior SIN GRAL;3204
8037;8037;Zona 02;CM/ HUERTA DE PIMENTEL, DE LA, Nº 1;INDIV exterior SIN GRAL;3224
3323;3323;Zona 02;CR/ ALFONSO XIII, Nº 2;INDIV interior SIN GRAL;3225
6185;6185;Zona 02;CL/ MARTIN DE CORDOBA, PLZ, Nº 9;INDIV interior SIN GRAL;3207
7273;7273;Zona 02;CL/ MARTIN DE CORDOBA, PLZ, Nº 14, Plt LOC, 02;INDIV interior SIN GRAL;3208
1014;1014;Zona 02;CL/ MARTIN DE CORDOBA, PLZ, Nº 17;INDIV exterior SIN GRAL;3227
9262;9262;Zona 02;CL/ MARTIN DE CORDOBA, PLZ, Nº 2;INDIV exterior SIN GRAL;3226
291;291;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 2, Plt LOC, 01;INDIV exterior SIN GRAL;3206
284;284;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 4;INDIV exterior SIN GRAL;3267
536;536;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 6;INDIV exterior SIN GRAL;3243
256;256;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 10;INDIV interior SIN GRAL;3244
11699;11699;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 12, Plt LOC, 01;INDIV exterior SIN GRAL;3245
5210;5210;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 14, Plt LOC, 01;INDIV exterior SIN GRAL;3246
6591;6591;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 16, Plt LOC, 01;INDIV exterior SIN GRAL;3247
7064;7064;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 18;INDIV exterior SIN GRAL;3248
2928;2928;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 20;INDIV exterior SIN GRAL;3249
2038;2038;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 22;INDIV exterior SIN GRAL;3250
1701;1701;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 24, Plt LOC, 01;INDIV exterior SIN GRAL;3251
24640;24640;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 24, Plt 1;INDIV exterior SIN GRAL;3252
2930;2930;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 26;INDIV exterior SIN GRAL;3306
9842;9842;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 28;INDIV exterior SIN GRAL;3253
4712;4712;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32;GENERAL exterior;3254
4712;27008;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt GJ, 4;BATERÍA CON GRAL;3255
4712;27010;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt GJ, 2;BATERÍA CON GRAL;3255
4712;27011;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt GJ, 1;BATERÍA CON GRAL;3255
4712;27012;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt 1, B;BATERÍA CON GRAL;3255
4712;27013;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32;BATERÍA CON GRAL;3255
4712;27014;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt 2, B;BATERÍA CON GRAL;3255
4712;27015;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt 2, C;BATERÍA CON GRAL;3255
4712;27016;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt ATC, A;BATERÍA CON GRAL;3255
4712;27017;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt GJ, 5;BATERÍA CON GRAL;3255
4712;27018;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt GJ, 3;BATERÍA CON GRAL;3255
4712;27019;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt ENT, A;BATERÍA CON GRAL;3255
4712;27020;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt 1, A;BATERÍA CON GRAL;3255
4712;27021;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt 1, C;BATERÍA CON GRAL;3255
4712;27022;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt 2, A;BATERÍA CON GRAL;3255
4712;27023;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt ATC, B;BATERÍA CON GRAL;3255
4712;27024;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 32, Plt ENT, B;BATERÍA CON GRAL;3255
1690;1690;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 38;INDIV exterior SIN GRAL;3256
6236;6236;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 40;INDIV exterior SIN GRAL;3257
26812;26812;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 42, Plt LOC, 01;INDIV exterior SIN GRAL;3258
2569;2569;Zona 02;CL/ FERNANDEZ CUEVAS, Nº 42;INDIV exterior SIN GRAL;3259
23354;23354;Zona 02;CL/ LUIS DE CAPPA, Nº 1;GENERAL exterior;3260
23354;23369;Zona 02;CL/ LUIS DE CAPPA, Nº 1, Plt 3, B;BATERÍA CON GRAL;3261
23354;23367;Zona 02;CL/ LUIS DE CAPPA, Nº 1, Plt 2, B;BATERÍA CON GRAL;3261
23354;23365;Zona 02;CL/ LUIS DE CAPPA, Nº 1, Plt 1, B;BATERÍA CON GRAL;3261
23354;23362;Zona 02;CL/ LUIS DE CAPPA, Nº 1, Plt ENT, A;BATERÍA CON GRAL;3261
23354;23370;Zona 02;CL/ LUIS DE CAPPA, Nº 1;BATERÍA CON GRAL;3261
23354;23368;Zona 02;CL/ LUIS DE CAPPA, Nº 1, Plt 3, A;BATERÍA CON GRAL;3261
23354;23366;Zona 02;CL/ LUIS DE CAPPA, Nº 1, Plt 2, A;BATERÍA CON GRAL;3261
23354;23364;Zona 02;CL/ LUIS DE CAPPA, Nº 1, Plt 1, A;BATERÍA CON GRAL;3261
23354;23363;Zona 02;CL/ LUIS DE CAPPA, Nº 1, Plt ENT, B;BATERÍA CON GRAL;3261
3410;3410;Zona 02;CL/ LUIS DE CAPPA, Nº 7;INDIV exterior SIN GRAL;3262
2372;2372;Zona 02;CL/ LUIS DE CAPPA, Nº 8;GENERAL exterior;3263
2372;31120;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt ENT, B;BATERÍA CON GRAL;3264
2372;31127;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt 2, B;BATERÍA CON GRAL;3264
2372;31132;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt 3, C;BATERÍA CON GRAL;3264
2372;31129;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt 2, D;BATERÍA CON GRAL;3264
2372;31122;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt 1, A;BATERÍA CON GRAL;3264
2372;31119;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt ENT, A;BATERÍA CON GRAL;3264
2372;31124;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt 1, C;BATERÍA CON GRAL;3264
2372;31131;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt 3, B;BATERÍA CON GRAL;3264
2372;31130;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt 3, A;BATERÍA CON GRAL;3264
2372;31125;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt 1, D;BATERÍA CON GRAL;3264
2372;31135;Zona 02;CL/ LUIS DE CAPPA, Nº 8, USOS COMUNES;BATERÍA CON GRAL;3264
2372;31134;Zona 02;CL/ LUIS DE CAPPA, Nº 8, PLACAS SOLARES;BATERÍA CON GRAL;3264
2372;31123;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt 1, B;BATERÍA CON GRAL;3264
2372;31128;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt 2, C;BATERÍA CON GRAL;3264
2372;31133;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt 3, D;BATERÍA CON GRAL;3264
2372;31126;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt 2, A;BATERÍA CON GRAL;3264
2372;31121;Zona 02;CL/ LUIS DE CAPPA, Nº 8, Plt ENT, C;BATERÍA CON GRAL;3264
1704;1704;Zona 02;CL/ JUAN DE LARA, Nº 7;INDIV exterior SIN GRAL;3265
2105;2105;Zona 02;CL/ JUAN DE LARA, Nº 8;GENERAL exterior;3271
2105;28897;Zona 02;CL/ JUAN DE LARA, Nº 8, Edif USOS COMUNES;BATERÍA CON GRAL;3272
2105;28895;Zona 02;CL/ JUAN DE LARA, Nº 8, Plt GJ, 1;BATERÍA CON GRAL;3272
2105;28891;Zona 02;CL/ JUAN DE LARA, Nº 8, Plt ENT;BATERÍA CON GRAL;3272
2105;28892;Zona 02;CL/ JUAN DE LARA, Nº 8, Plt 1;BATERÍA CON GRAL;3272
2105;28893;Zona 02;CL/ JUAN DE LARA, Nº 8, Plt 2;BATERÍA CON GRAL;3272
2105;28894;Zona 02;CL/ JUAN DE LARA, Nº 8, Plt 3;BATERÍA CON GRAL;3272
2105;28898;Zona 02;CL/ JUAN DE LARA, Nº 8;BATERÍA CON GRAL;3272
2105;28896;Zona 02;CL/ JUAN DE LARA, Nº 8, Plt GJ, 2;BATERÍA CON GRAL;3272
15095;15095;Zona 02;CL/ JUAN DE LARA, Nº 12, Plt 1;INDIV exterior SIN GRAL;3273
6562;6562;Zona 02;CL/ JUAN DE LARA, Nº 12, Plt 2;INDIV exterior SIN GRAL;3274
7241;7241;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 9;GENERAL exterior;3275
7241;16483;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 9, Plt 3;BATERÍA CON GRAL;3276
7241;16482;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 9, Plt 2, B;BATERÍA CON GRAL;3276
7241;16481;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 9, Plt 2, A;BATERÍA CON GRAL;3276
7241;16480;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 9, Plt 1, B;BATERÍA CON GRAL;3276
7241;16479;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 9, Plt 1, A;BATERÍA CON GRAL;3276
7241;16484;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 9, Plt LOC, 01;BATERÍA CON GRAL;3276
2134;2134;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 11, Edif EDF CONCHA;GENERAL exterior;3277
6072;6072;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 8;INDIV exterior SIN GRAL;3278
3488;3488;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 6;GENERAL exterior;3279
3488;30923;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 6, Plt GJ, 2;BATERÍA CON GRAL;3280
3488;30925;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 6, Edif PLACAS SOLARES;BATERÍA CON GRAL;3280
3488;30919;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 6, Plt 2;BATERÍA CON GRAL;3280
3488;30920;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 6, Plt 3;BATERÍA CON GRAL;3280
3488;30924;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 6, Plt GJ, 3;BATERÍA CON GRAL;3280
3488;30922;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 6, Plt GJ, 1;BATERÍA CON GRAL;3280
3488;30918;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 6, Plt 1;BATERÍA CON GRAL;3280
3488;30921;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 6, Plt 4;BATERÍA CON GRAL;3280
1971;1971;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1-3;GENERAL exterior;3281
1971;31870;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt 1, B;BATERÍA CON GRAL;3282
1971;31864;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt 2, A;BATERÍA CON GRAL;3282
1971;31865;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt ATIC, B;BATERÍA CON GRAL;3282
1971;31866;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt ATIC, A;BATERÍA CON GRAL;3282
1971;31867;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, PLACAS SOLARES;BATERÍA CON GRAL;3282
1971;31868;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt GAR, 02;BATERÍA CON GRAL;3282
1971;31869;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt GAR, 03;BATERÍA CON GRAL;3282
1971;31863;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt 1, C;BATERÍA CON GRAL;3282
1971;31871;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt 2, B;BATERÍA CON GRAL;3282
1971;31872;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt 3, C;BATERÍA CON GRAL;3282
1971;31873;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt ATIC, B, REPOSICION PISCINA;BATERÍA CON GRAL;3282
1971;31874;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt ATIC, A, REPOSICION PISCINA;BATERÍA CON GRAL;3282
1971;31875;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt GAR, 01;BATERÍA CON GRAL;3282
1971;31876;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt GAR, 04;BATERÍA CON GRAL;3282
1971;31877;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, USOS COMUNES;BATERÍA CON GRAL;3282
1971;31878;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt 1, A;BATERÍA CON GRAL;3282
1971;31879;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt 2, C;BATERÍA CON GRAL;3282
1971;31880;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt ATIC, B, LLENADO PISCINA;BATERÍA CON GRAL;3282
1971;31881;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt ATIC, A, LLENADO PISCINA;BATERÍA CON GRAL;3282
1971;31882;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt GAR, 05;BATERÍA CON GRAL;3282
1971;31883;Zona 02;CL/ SERRANO RUIZ, GENERAL, Nº 1, Plt GAR, 06;BATERÍA CON GRAL;3282
29319;29319;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Plt GAR, 01;INDIV exterior SIN GRAL;3121
29634;29634;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Plt GAR, 02;INDIV exterior SIN GRAL;3135
2623;2623;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Edif CDAD. PROP. EDIF. ESTRELLA DEL SUR;GENERAL exterior;3136
2623;24110;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Plt BJ, A;BATERÍA CON GRAL;3122
2623;24112;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Plt 1, A;BATERÍA CON GRAL;3122
2623;24111;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Plt BJ, B;BATERÍA CON GRAL;3122
2623;24115;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Plt 2, B;BATERÍA CON GRAL;3122
2623;24119;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 1, Plt GAR, 02;BATERÍA CON GRAL;3122
2623;24116;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Plt 3, A;BATERÍA CON GRAL;3122
2623;24114;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Plt 2, A;BATERÍA CON GRAL;3122
2623;24113;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Plt 1, B;BATERÍA CON GRAL;3122
2623;24117;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Plt 3, B;BATERÍA CON GRAL;3122
2623;24118;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Plt G, 5;BATERÍA CON GRAL;3122
26979;26979;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 3, Plt GAR, 03;INDIV exterior SIN GRAL;3137
23165;23165;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 5, Edif CDAD. PROP. EDIF. MONTESUR;GENERAL exterior;3099
23165;23384;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 5, Plt 2, B;BATERÍA CON GRAL;3100
23165;23383;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 5, Plt 2, A;BATERÍA CON GRAL;3100
23165;23380;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 5, Plt ENT;BATERÍA CON GRAL;3100
23165;23382;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 5, Plt 1, B;BATERÍA CON GRAL;3100
23165;23385;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 5, Plt 3;BATERÍA CON GRAL;3100
23165;23381;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 5, Plt 1, A;BATERÍA CON GRAL;3100
23165;25329;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 5;BATERÍA CON GRAL;3100
3371;3371;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 7;INDIV exterior SIN GRAL;3101
6727;6727;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 9;GENERAL exterior;3120
6727;25104;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 9;BATERÍA CON GRAL;3134
6727;25099;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 9, Plt 2, DCH;BATERÍA CON GRAL;3134
6727;25095;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 9, Plt ENT, DCH;BATERÍA CON GRAL;3134
6727;25098;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 9, Plt 2, IZ;BATERÍA CON GRAL;3134
6727;25094;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 9, Plt ENT, IZ;BATERÍA CON GRAL;3134
6727;25103;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 9, Plt GAR, 2;BATERÍA CON GRAL;3134
6727;25101;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 9, Plt 3, DCH;BATERÍA CON GRAL;3134
6727;25097;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 9, Plt 1, DCH;BATERÍA CON GRAL;3134
6727;25100;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 9, Plt 3, IZ;BATERÍA CON GRAL;3134
6727;25096;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 9, Plt 1, IZ;BATERÍA CON GRAL;3134
6727;25102;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 9, Plt GAR, 1;BATERÍA CON GRAL;3134
1975;1975;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 8;INDIV exterior SIN GRAL;3123
28967;28967;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11, Edif CDAD. PROP. EDIF. DOÑA SARA;GENERAL exterior;3102
28967;29461;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11;BATERÍA CON GRAL;3103
28967;29451;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11, Plt ENT, 2;BATERÍA CON GRAL;3103
28967;29453;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11, Plt 1, 4;BATERÍA CON GRAL;3103
28967;29455;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11, Plt 1, 6;BATERÍA CON GRAL;3103
28967;29457;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11, Plt 2, 8;BATERÍA CON GRAL;3103
28967;29459;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11, Plt 3, 10;BATERÍA CON GRAL;3103
28967;29462;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11;BATERÍA CON GRAL;3103
28967;29450;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11, Plt ENT, 1;BATERÍA CON GRAL;3103
28967;29452;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11, Plt ENT, 3;BATERÍA CON GRAL;3103
28967;29454;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11, Plt 1, 5;BATERÍA CON GRAL;3103
28967;29456;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11, Plt 2, 7;BATERÍA CON GRAL;3103
28967;29458;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11, Plt 2, 9;BATERÍA CON GRAL;3103
28967;29460;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 11, Plt 3, 11;BATERÍA CON GRAL;3103
5691;5691;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 12;INDIV exterior SIN GRAL;3104
6578;6578;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 14;INDIV exterior SIN GRAL;3105
3220;3220;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 17, Edif (IGLESIA EVANGELISTA);INDIV exterior SIN GRAL;3106
3907;3907;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 19, Edif CDAD. PROP. EDIF. MONTESUR II;GENERAL exterior;3107
3907;29092;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 19, Edif USOS COMUNES;BATERÍA CON GRAL;3108
3907;29085;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 19, Plt 1, B;BATERÍA CON GRAL;3108
3907;29087;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 19, Plt 2, B;BATERÍA CON GRAL;3108
3907;29091;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 19, Plt 4, B;BATERÍA CON GRAL;3108
3907;29089;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 19, Plt 3, B;BATERÍA CON GRAL;3108
3907;29084;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 19, Plt 1, A;BATERÍA CON GRAL;3108
3907;29086;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 19, Plt 2, A;BATERÍA CON GRAL;3108
3907;29090;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 19, Plt 4, A;BATERÍA CON GRAL;3108
3907;29088;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 19, Plt 3, A;BATERÍA CON GRAL;3108
3907;29093;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 19, Edif PLACAS SOLARES;BATERÍA CON GRAL;3108
2626;2626;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 18, Edif CDAD. PROP. EDIF. SANSON II;GENERAL exterior;3109
2626;20806;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 18, Plt BJ;BATERÍA CON GRAL;3110
2626;20807;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 18, Plt 1;BATERÍA CON GRAL;3110
2626;20808;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 18, Plt 2;BATERÍA CON GRAL;3110
2626;20809;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 18, Plt 3;BATERÍA CON GRAL;3110
2626;20810;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 18;BATERÍA CON GRAL;3110
3381;3381;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 29, Edif (IGLESIA CATÓLICA DEL TESORILLO);INDIV exterior SIN GRAL;3111
7814;7814;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 31;GENERAL exterior;3112
7814;25602;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 31, Plt 3, C;BATERÍA CON GRAL;3113
7814;25594;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 31, Plt 1, C;BATERÍA CON GRAL;3113
7814;25599;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 31, Plt 2, D;BATERÍA CON GRAL;3113
7814;25600;Zona 02;CL/ JACINTO RUIZ MENDOZA, Nº 31, Plt 3, A;BATERÍA CON GRAL;3113
